seed_2_global_step_100000.pth,seed_2_global_step_10000000.pth,seed_2_global_step_20000000.pth,seed_2_global_step_30000000.pth,seed_2_global_step_40000000.pth,seed_2_global_step_50000000.pth,seed_2_global_step_60000000.pth,seed_2_global_step_70000000.pth,seed_2_global_step_80000000.pth,seed_2_global_step_90000000.pth
0.0,75.0,374.0,335.0,362.0,133.0,21.0,345.0,393.0,254.0
0.0,69.0,250.0,329.0,74.0,83.0,5.0,326.0,415.0,387.0
0.0,55.0,373.0,323.0,336.0,386.0,41.0,65.0,425.0,390.0
0.0,69.0,306.0,408.0,392.0,418.0,3.0,68.0,370.0,16.0
0.0,55.0,363.0,116.0,209.0,350.0,5.0,40.0,116.0,9.0
0.0,38.0,288.0,422.0,391.0,413.0,2.0,54.0,324.0,4.0
0.0,76.0,224.0,413.0,392.0,162.0,7.0,427.0,413.0,395.0
0.0,67.0,237.0,341.0,324.0,302.0,6.0,79.0,42.0,71.0
0.0,64.0,239.0,392.0,158.0,74.0,5.0,109.0,418.0,409.0
0.0,60.0,40.0,299.0,91.0,421.0,5.0,112.0,144.0,0.0
0.0,68.0,286.0,413.0,184.0,308.0,415.0,36.0,400.0,4.0
0.0,81.0,342.0,337.0,381.0,39.0,11.0,9.0,315.0,285.0
0.0,60.0,368.0,330.0,64.0,414.0,12.0,407.0,20.0,405.0
0.0,71.0,320.0,355.0,216.0,331.0,6.0,371.0,413.0,368.0
0.0,66.0,99.0,423.0,338.0,400.0,5.0,38.0,406.0,346.0
0.0,60.0,109.0,401.0,159.0,424.0,2.0,196.0,43.0,7.0
0.0,68.0,294.0,386.0,206.0,396.0,11.0,393.0,427.0,387.0
0.0,48.0,351.0,427.0,301.0,120.0,0.0,352.0,374.0,398.0
0.0,68.0,314.0,371.0,195.0,197.0,4.0,393.0,367.0,409.0
0.0,57.0,224.0,417.0,156.0,102.0,403.0,384.0,396.0,308.0
