global_iterations,avg,min,max
8604.0,1.3466666666666667,0.42,2.5
8797.0,1.366666666666667,0.42,2.54
8910.0,1.353333333333333,0.42,2.54
9021.0,1.34,0.42,2.52
9132.0,1.22,0.36,2.3
9291.0,1.1733333333333333,0.3,2.26
9482.0,1.1666666666666667,0.26,2.28
9716.0,1.1733333333333333,0.26,2.3
9861.0,1.1933333333333334,0.28,2.32
9974.0,1.2066666666666666,0.28,2.34
10115.0,1.1933333333333334,0.28,2.32
10228.0,1.2,0.28,2.36
10337.0,1.2,0.28,2.36
10527.0,1.2,0.28,2.38
10640.0,1.2133333333333334,0.28,2.42
10753.0,1.2266666666666666,0.28,2.46
10862.0,1.1733333333333333,0.24,2.4
11069.0,1.2,0.26,2.42
11431.0,1.1866666666666668,0.24,2.42
11620.0,1.18,0.22,2.42
11733.0,1.2133333333333334,0.22,2.5
12069.0,1.2333333333333334,0.2,2.56
12182.0,1.24,0.2,2.58
12297.0,1.2533333333333332,0.2,2.62
12410.0,1.2133333333333334,0.18,2.56
12720.0,1.2866666666666666,0.26,2.62
12881.0,1.28,0.24,2.62
13166.0,1.2666666666666666,0.24,2.6
13323.0,1.28,0.26,2.62
13559.0,1.3266666666666667,0.28,2.7
13672.0,1.3333333333333335,0.26,2.72
13934.0,1.3466666666666667,0.28,2.7
14092.0,1.353333333333333,0.3,2.7
14205.0,1.353333333333333,0.3,2.72
14364.0,1.3533333333333335,0.3,2.7
14477.0,1.4066666666666665,0.3,2.82
14641.0,1.4466666666666665,0.32,2.86
14754.0,1.4466666666666665,0.32,2.88
14869.0,1.44,0.32,2.88
15008.0,1.4666666666666666,0.32,2.94
15322.0,1.52,0.36,2.98
15437.0,1.5333333333333334,0.36,3.0
15546.0,1.5266666666666666,0.36,3.0
15733.0,1.5066666666666666,0.36,2.94
15848.0,1.5,0.36,2.94
16007.0,1.5133333333333332,0.38,2.94
16195.0,1.5333333333333334,0.38,2.98
16310.0,1.5466666666666666,0.38,3.04
16423.0,1.5333333333333332,0.34,3.06
16658.0,1.5266666666666666,0.34,3.06
16769.0,1.5,0.34,3.02
16884.0,1.4666666666666666,0.32,2.98
16997.0,1.4666666666666666,0.32,2.96
17138.0,1.5,0.32,3.04
17279.0,1.5066666666666666,0.32,3.04
17439.0,1.4933333333333334,0.32,3.0
17601.0,1.48,0.34,2.96
17811.0,1.4666666666666666,0.32,2.94
18115.0,1.4733333333333334,0.3,2.98
18228.0,1.4466666666666665,0.3,2.94
18414.0,1.4666666666666666,0.3,2.96
18525.0,1.4466666666666665,0.3,2.9
18634.0,1.4666666666666666,0.3,2.92
18749.0,1.4799999999999998,0.3,2.96
18860.0,1.48,0.3,2.96
18975.0,1.4533333333333334,0.3,2.92
19118.0,1.4466666666666665,0.3,2.88
19259.0,1.44,0.28,2.9
19372.0,1.4066666666666665,0.26,2.82
19660.0,1.4266666666666665,0.26,2.86
19820.0,1.4066666666666665,0.26,2.8
20057.0,1.3799999999999997,0.26,2.76
20170.0,1.36,0.26,2.7
20454.0,1.3866666666666665,0.26,2.74
20597.0,1.4,0.28,2.74
20883.0,1.3466666666666667,0.26,2.68
20996.0,1.36,0.26,2.74
21111.0,1.34,0.26,2.68
21283.0,1.32,0.24,2.66
21446.0,1.2866666666666666,0.24,2.6
21559.0,1.28,0.24,2.62
21672.0,1.2466666666666668,0.22,2.6
21831.0,1.2466666666666666,0.22,2.6
21944.0,1.24,0.22,2.58
22085.0,1.2533333333333332,0.22,2.62
22249.0,1.28,0.24,2.7
22409.0,1.2666666666666666,0.22,2.72
22714.0,1.3,0.22,2.76
22902.0,1.353333333333333,0.26,2.8
23013.0,1.3533333333333335,0.26,2.78
23126.0,1.28,0.22,2.68
23287.0,1.2666666666666666,0.22,2.66
23398.0,1.2533333333333332,0.22,2.62
23539.0,1.2533333333333334,0.22,2.6
23652.0,1.26,0.22,2.62
23767.0,1.2333333333333334,0.2,2.58
23957.0,1.2466666666666666,0.24,2.58
24264.0,1.2466666666666668,0.24,2.58
24377.0,1.2333333333333334,0.24,2.56
24565.0,1.2666666666666666,0.24,2.62
24676.0,1.2666666666666666,0.24,2.62
24862.0,1.2933333333333334,0.24,2.66
25118.0,1.3133333333333332,0.24,2.7
25403.0,1.3333333333333335,0.24,2.7
25518.0,1.32,0.24,2.68
25705.0,1.32,0.24,2.7
25818.0,1.3,0.22,2.68
25933.0,1.2866666666666666,0.22,2.68
26141.0,1.28,0.22,2.64
26254.0,1.2733333333333332,0.22,2.62
26636.0,1.2866666666666666,0.22,2.7
27024.0,1.3266666666666667,0.22,2.84
27185.0,1.3066666666666666,0.22,2.82
27344.0,1.2933333333333334,0.22,2.76
27505.0,1.2933333333333332,0.22,2.74
27691.0,1.3,0.22,2.74
27804.0,1.32,0.22,2.82
27915.0,1.2933333333333334,0.22,2.76
28054.0,1.3066666666666666,0.22,2.8
28167.0,1.2733333333333334,0.22,2.74
28357.0,1.3,0.24,2.78
28605.0,1.3266666666666667,0.28,2.8
28797.0,1.3666666666666665,0.32,2.84
28985.0,1.36,0.32,2.82
29204.0,1.3866666666666665,0.32,2.86
29319.0,1.346666666666667,0.26,2.82
29434.0,1.3266666666666667,0.26,2.76
29575.0,1.3466666666666667,0.28,2.78
29716.0,1.3466666666666667,0.28,2.76
29878.0,1.3466666666666667,0.28,2.76
30021.0,1.3333333333333335,0.28,2.7
30134.0,1.32,0.28,2.66
30398.0,1.346666666666667,0.26,2.7
30604.0,1.38,0.26,2.76
30717.0,1.3866666666666665,0.26,2.76
30878.0,1.32,0.24,2.58
30989.0,1.3266666666666667,0.24,2.6
31104.0,1.3266666666666667,0.24,2.64
31215.0,1.2866666666666668,0.2,2.62
31529.0,1.2866666666666666,0.2,2.66
31644.0,1.2733333333333334,0.2,2.64
31757.0,1.2666666666666666,0.2,2.64
31870.0,1.2866666666666666,0.2,2.68
32060.0,1.3,0.2,2.7
32173.0,1.3,0.2,2.68
32286.0,1.3066666666666669,0.2,2.7
32401.0,1.28,0.16,2.7
32516.0,1.26,0.16,2.64
32755.0,1.32,0.18,2.74
32914.0,1.32,0.2,2.7
33124.0,1.353333333333333,0.22,2.74
33239.0,1.32,0.22,2.68
33350.0,1.3,0.22,2.64
33513.0,1.26,0.22,2.58
33654.0,1.2866666666666666,0.24,2.62
33767.0,1.2933333333333334,0.24,2.64
34119.0,1.3333333333333335,0.24,2.74
34230.0,1.3333333333333335,0.24,2.74
34488.0,1.346666666666667,0.26,2.76
34601.0,1.34,0.26,2.74
34837.0,1.3266666666666667,0.26,2.68
34952.0,1.2933333333333334,0.26,2.54
35340.0,1.3266666666666669,0.26,2.64
35453.0,1.3533333333333335,0.26,2.68
35643.0,1.353333333333333,0.26,2.7
35800.0,1.3666666666666665,0.28,2.7
35913.0,1.366666666666667,0.28,2.66
36026.0,1.413333333333333,0.28,2.8
36137.0,1.406666666666667,0.28,2.8
36345.0,1.44,0.3,2.84
36533.0,1.4133333333333333,0.28,2.8
36741.0,1.3866666666666665,0.24,2.76
36882.0,1.353333333333333,0.2,2.74
37230.0,1.3733333333333335,0.2,2.78
37343.0,1.3266666666666667,0.18,2.72
37456.0,1.3333333333333335,0.18,2.74
37571.0,1.3533333333333335,0.18,2.8
37712.0,1.333333333333333,0.16,2.78
37827.0,1.36,0.16,2.86
38016.0,1.393333333333333,0.18,2.9
38157.0,1.3933333333333335,0.18,2.9
38270.0,1.4,0.18,2.92
38385.0,1.36,0.18,2.86
38500.0,1.3266666666666667,0.18,2.8
38693.0,1.3133333333333332,0.18,2.78
38806.0,1.3,0.18,2.76
38994.0,1.3,0.18,2.74
39200.0,1.28,0.18,2.66
39513.0,1.3533333333333335,0.2,2.78
39723.0,1.3466666666666667,0.2,2.72
39834.0,1.3666666666666665,0.2,2.78
