global_iterations,avg,min,max
1840399.0,1.306,1.306,1.306
1848248.0,1.306,1.306,1.306
1867397.0,1.306,1.306,1.306
1869108.0,1.306,1.306,1.306
1876634.0,1.312,1.312,1.312
1887220.0,1.312,1.312,1.312
1890494.0,1.312,1.312,1.312
1891206.0,1.32,1.32,1.32
1892120.0,1.318,1.318,1.318
1902000.0,1.318,1.318,1.318
1909496.0,1.318,1.318,1.318
1917154.0,1.318,1.318,1.318
1922859.0,1.322,1.322,1.322
1926000.0,1.326,1.326,1.326
1931081.0,1.328,1.328,1.328
1931602.0,1.334,1.334,1.334
1936826.0,1.33,1.33,1.33
1938785.0,1.336,1.336,1.336
1940010.0,1.336,1.336,1.336
1942337.0,1.33,1.33,1.33
1947783.0,1.33,1.33,1.33
1949033.0,1.33,1.33,1.33
1951253.0,1.326,1.326,1.326
1955552.0,1.322,1.322,1.322
1956670.0,1.318,1.318,1.318
1961799.0,1.318,1.318,1.318
1963920.0,1.322,1.322,1.322
1970357.0,1.322,1.322,1.322
1971530.0,1.324,1.324,1.324
1972604.0,1.32,1.32,1.32
1976000.0,1.32,1.32,1.32
1976038.0,1.32,1.32,1.32
1996292.0,1.32,1.32,1.32
1997869.0,1.318,1.318,1.318
2005000.0,1.32,1.32,1.32
2016000.0,1.32,1.32,1.32
2023044.0,1.322,1.322,1.322
2023918.0,1.324,1.324,1.324
2025192.0,1.332,1.332,1.332
2030385.0,1.328,1.328,1.328
2032519.0,1.33,1.33,1.33
2033420.0,1.324,1.324,1.324
2039476.0,1.33,1.33,1.33
2042221.0,1.33,1.33,1.33
2044417.0,1.328,1.328,1.328
2047617.0,1.326,1.326,1.326
2064415.0,1.33,1.33,1.33
2064883.0,1.346,1.346,1.346
2065602.0,1.342,1.342,1.342
2066835.0,1.354,1.354,1.354
2069000.0,1.348,1.348,1.348
2075044.0,1.348,1.348,1.348
2076000.0,1.352,1.352,1.352
2082876.0,1.354,1.354,1.354
2086684.0,1.352,1.352,1.352
2087927.0,1.35,1.35,1.35
2088429.0,1.352,1.352,1.352
2103619.0,1.346,1.346,1.346
2113268.0,1.346,1.346,1.346
2117467.0,1.35,1.35,1.35
2118143.0,1.352,1.352,1.352
2119345.0,1.352,1.352,1.352
2119915.0,1.35,1.35,1.35
2120344.0,1.356,1.356,1.356
2122063.0,1.354,1.354,1.354
2124613.0,1.352,1.352,1.352
2129699.0,1.354,1.354,1.354
2132705.0,1.346,1.346,1.346
2134841.0,1.35,1.35,1.35
2137846.0,1.348,1.348,1.348
