global_iterations,avg,min,max
9434026.0,0.5090234375,0.5090234375,0.5090234375
9680423.0,0.50640625,0.50640625,0.50640625
9775088.0,0.50390625,0.50390625,0.50390625
9890387.0,0.501171875,0.501171875,0.501171875
9900000.0,0.4990625,0.4990625,0.4990625
10161000.0,0.4962890625,0.4962890625,0.4962890625
10548000.0,0.4936328125,0.4936328125,0.4936328125
10662383.0,0.49140625,0.49140625,0.49140625
11051055.0,0.48875,0.48875,0.48875
11258604.0,0.4864453125,0.4864453125,0.4864453125
11792606.0,0.483671875,0.483671875,0.483671875
12444167.0,0.480234375,0.480234375,0.480234375
12579809.0,0.4773046875,0.4773046875,0.4773046875
12754149.0,0.4748046875,0.4748046875,0.4748046875
12884562.0,0.4726171875,0.4726171875,0.4726171875
13012028.0,0.4698828125,0.4698828125,0.4698828125
13235023.0,0.4671484375,0.4671484375,0.4671484375
13345395.0,0.4646484375,0.4646484375,0.4646484375
13525033.0,0.4612109375,0.4612109375,0.4612109375
13545767.0,0.458984375,0.458984375,0.458984375
13634704.0,0.45703125,0.45703125,0.45703125
13690000.0,0.4545703125,0.4545703125,0.4545703125
14012333.0,0.4525390625,0.4525390625,0.4525390625
14160680.0,0.451640625,0.451640625,0.451640625
14167422.0,0.450859375,0.450859375,0.450859375
14395000.0,0.44984375,0.44984375,0.44984375
14436319.0,0.4484765625,0.4484765625,0.4484765625
14607000.0,0.44828125,0.44828125,0.44828125
14778611.0,0.4533984375,0.4533984375,0.4533984375
14831600.0,0.4597265625,0.4597265625,0.4597265625
14855892.0,0.4657421875,0.4657421875,0.4657421875
15103295.0,0.4722265625,0.4722265625,0.4722265625
15117181.0,0.478828125,0.478828125,0.478828125
15328938.0,0.484921875,0.484921875,0.484921875
15399426.0,0.4915625,0.4915625,0.4915625
15558323.0,0.49859375,0.49859375,0.49859375
15918766.0,0.5055859375,0.5055859375,0.5055859375
16340428.0,0.512421875,0.512421875,0.512421875
16379000.0,0.5191796875,0.5191796875,0.5191796875
