global_iterations,avg,min,max
152312.0,175.09638888888887,78.23083333333332,294.2708333333333
152637.0,175.47972222222222,78.53083333333333,294.7708333333333
152994.0,175.50194444444443,78.48083333333332,295.12083333333334
153000.0,175.31027777777777,78.38083333333333,294.8458333333333
153320.0,175.5102777777778,78.58083333333333,294.9458333333333
153598.0,175.49027777777778,78.63083333333333,294.8458333333333
154202.0,175.34027777777777,78.68083333333333,294.6458333333333
154445.0,175.34861111111113,78.53083333333333,294.87083333333334
154809.0,175.4986111111111,78.68083333333333,295.12083333333334
155000.0,175.4236111111111,78.53083333333333,295.12083333333334
155170.0,175.50694444444443,78.78083333333333,294.9708333333333
155853.0,175.51944444444445,78.83083333333333,294.87083333333334
156000.0,175.6361111111111,78.78083333333333,295.0208333333333
156194.0,175.6111111111111,78.73083333333332,294.6708333333333
156429.0,175.86944444444444,79.18083333333333,294.8458333333333
156762.0,175.96527777777777,79.23083333333332,295.0333333333333
157000.0,176.14861111111114,79.43083333333333,295.18333333333334
157080.0,176.4361111111111,79.59333333333333,295.43333333333334
157392.0,176.54861111111111,79.78083333333333,295.4833333333333
157713.0,176.63194444444446,79.68083333333333,295.5833333333333
158000.0,177.05277777777778,79.84333333333333,296.4833333333333
158011.0,176.9861111111111,79.99333333333333,295.8333333333333
158310.0,176.9486111111111,79.84333333333333,295.9083333333333
158906.0,176.8375,79.74333333333333,295.5083333333333
159270.0,177.02638888888887,80.06,295.6083333333333
159545.0,176.8763888888889,79.86,295.4583333333333
159856.0,176.6638888888889,79.9225,294.7583333333333
160000.0,176.69722222222222,80.0725,294.4083333333333
160000.0,176.5583333333333,80.1225,293.9583333333333
160000.0,176.6916666666667,80.1725,294.1083333333333
160196.0,176.79166666666666,80.1725,294.1583333333333
160544.0,176.8166666666667,80.1225,294.2083333333333
161000.0,177.1541666666667,80.1225,294.9083333333333
161108.0,177.1125,80.1725,294.7583333333333
161484.0,177.10694444444448,79.9225,294.8916666666667
162000.0,177.39027777777778,80.0725,295.3416666666667
162056.0,177.33694444444444,80.3225,295.1416666666667
162360.0,177.6327777777778,80.4725,295.5916666666667
162704.0,177.94388888888886,80.9225,295.675
163000.0,177.86611111111114,80.6225,295.7916666666667
163047.0,177.86611111111114,80.7225,295.69166666666666
163366.0,177.98694444444448,80.885,295.7916666666667
163678.0,178.34111111111113,81.2475,296.19166666666666
164000.0,178.64111111111112,81.1975,297.0916666666667
164220.0,178.89111111111112,81.3475,297.3916666666667
164489.0,178.48694444444445,81.2475,296.62916666666666
164760.0,178.64111111111112,81.51,296.5791666666667
165000.0,179.21444444444444,81.91,297.37916666666666
165061.0,179.43111111111114,82.11,297.62916666666666
165300.0,179.53111111111113,82.31,297.5791666666667
165891.0,179.71444444444444,82.46,297.7291666666667
166000.0,179.79777777777778,82.56,297.8291666666667
166222.0,179.82111111111112,82.46,297.9291666666667
166509.0,179.73111111111112,82.31,297.7791666666667
166833.0,180.06444444444443,82.61,298.1791666666667
167000.0,180.16444444444446,82.61,298.1791666666667
167179.0,179.96027777777778,82.81,297.75416666666666
167512.0,179.67277777777778,82.7475,297.0541666666667
167813.0,179.64777777777778,82.8975,296.7041666666667
168150.0,179.69222222222223,82.8475,296.7375
168411.0,179.85055555555556,83.0975,296.7125
168793.0,179.77555555555557,83.3475,296.5125
169000.0,179.9922222222222,83.4975,296.8125
169261.0,180.12555555555556,83.5475,297.1625
169995.0,180.20888888888888,83.6975,297.2625
170000.0,180.2088888888889,83.7475,297.2125
170000.0,180.22972222222222,84.06,296.5625
170000.0,180.10638888888892,84.16,296.0925
170314.0,180.15638888888887,84.26,295.8425
170698.0,180.52305555555554,84.51,296.5425
170961.0,180.6147222222222,84.61,296.5925
171258.0,180.72861111111112,84.56,296.9675
172000.0,181.23416666666668,84.81,297.7675
172007.0,181.25083333333333,84.81,297.8675
172617.0,181.13416666666666,84.66,297.6675
173000.0,181.1341666666667,84.76,297.5675
173031.0,181.2425,84.91,297.6925
173326.0,181.22583333333336,85.01,297.4425
173659.0,181.17583333333334,84.86,297.4425
174000.0,181.92583333333334,85.36,298.3925
174781.0,181.90916666666666,85.36,298.1925
175000.0,181.92583333333334,85.36,298.1925
175506.0,181.7425,85.16,298.0425
175932.0,182.0925,85.31,298.6425
176247.0,182.57583333333335,85.56,299.3425
176639.0,182.3925,85.51,299.1925
176906.0,182.2491666666667,85.56,298.7925
177000.0,182.4425,85.66,299.1025
177187.0,182.3925,85.96,298.4525
177554.0,182.6425,86.16,298.8025
177944.0,182.4466666666667,86.31,298.315
178000.0,182.47444444444446,86.26,298.49833333333333
178263.0,182.60777777777778,86.31,298.6483333333333
179000.0,182.82444444444448,86.56,298.9483333333333
179148.0,182.97444444444443,86.61,299.24833333333333
179462.0,183.37444444444444,86.81,300.0483333333333
179731.0,183.27444444444447,86.91,299.6483333333333
180000.0,183.4452777777778,87.0225,299.8483333333333
180000.0,183.76277777777779,87.335,300.0883333333333
180000.0,184.01277777777779,87.635,300.3883333333333
180419.0,184.37527777777777,88.0725,300.68833333333333
181000.0,184.70027777777779,88.3225,301.0383333333333
181122.0,184.95027777777779,88.2725,301.9883333333333
181465.0,185.1836111111111,88.6225,302.0383333333333
181939.0,185.22111111111113,88.5725,302.0883333333333
182000.0,185.17944444444444,88.7225,301.56333333333333
182232.0,185.42388888888888,88.7725,301.81333333333333
182603.0,185.7072222222222,89.0225,302.2633333333333
182978.0,186.1822222222222,89.2725,302.9883333333333
183000.0,186.37111111111113,89.3725,303.18833333333333
183299.0,186.05444444444447,89.4725,302.1383333333333
183690.0,186.11277777777778,89.6725,302.0383333333333
184000.0,186.5211111111111,90.0475,302.4883333333333
184235.0,186.64194444444448,90.3475,302.4008333333333
184531.0,186.89194444444448,90.4475,302.7008333333333
