global_iterations,avg,min,max
0,-4.515999999999997,-4.548999999999998,-4.482999999999997
100,-4.548999999999997,-4.581999999999997,-4.521499999999996
200,-4.515555555555552,-4.569333333333331,-4.475999999999996
300,-4.52220833333333,-4.570124999999997,-4.485999999999997
400,-4.513116666666663,-4.571149999999998,-4.463399999999997
500,-4.519689814814812,-4.574791666666664,-4.4739999999999975
600,-4.51994841269841,-4.573464285714283,-4.47685714285714
700,-4.5092881944444425,-4.560093749999997,-4.467999999999997
800,-4.5030709876543185,-4.552749999999998,-4.461111111111109
900,-4.497019444444442,-4.545474999999998,-4.4569666666666645
1000,-4.4964924242424225,-4.545795454545452,-4.455575757575755
1100,-4.491506944444442,-4.538729166666664,-4.4523611111111085
1200,-4.485134615384613,-4.531903846153844,-4.444333333333331
1300,-4.476109126984125,-4.522577380952379,-4.433666666666665
1400,-4.468687037037034,-4.513405555555553,-4.4275555555555535
1500,-4.46170659722222,-4.5073802083333305,-4.415895833333331
1600,-4.452769607843135,-4.498651960784311,-4.407196078431371
1700,-4.449050925925924,-4.497504629629628,-4.399407407407406
1800,-4.443320175438594,-4.4978991228070155,-4.38925438596491
1900,-4.433420833333331,-4.4869041666666645,-4.380541666666664
2000,-4.425210317460316,-4.477289682539681,-4.3736349206349185
2100,-4.418433080808079,-4.472458333333331,-4.366575757575756
2200,-4.410827294685988,-4.465742753623187,-4.355050724637679
2300,-4.401410879629627,-4.458170138888887,-4.34248611111111
2400,-4.391021111111109,-4.446843333333331,-4.3331866666666645
2500,-4.380667735042733,-4.437618589743588,-4.320467948717947
2600,-4.368099794238681,-4.426484567901233,-4.304598765432097
2700,-4.359610119047617,-4.417895833333331,-4.295702380952379
2800,-4.3497844827586185,-4.409313218390802,-4.285011494252871
2900,-4.335602777777776,-4.396469444444443,-4.2695777777777755
3000,-4.313302777777777,-4.37793611111111,-4.245444444444442
3100,-4.294224999999998,-4.3596694444444415,-4.225077777777776
3200,-4.277432407407406,-4.342558333333331,-4.20551111111111
3300,-4.255056481481479,-4.324263888888887,-4.176911111111109
3400,-4.238453703703702,-4.310622222222221,-4.15541111111111
3500,-4.2174296296296285,-4.29342222222222,-4.1278444444444435
3600,-4.195224074074073,-4.2761388888888865,-4.098877777777776
3700,-4.173912962962961,-4.26102222222222,-4.06936111111111
3800,-4.150524074074073,-4.242655555555554,-4.039294444444443
3900,-4.125133333333332,-4.222288888888887,-4.010188888888888
4000,-4.101014814814814,-4.200388888888887,-3.9809166666666655
4100,-4.078914814814813,-4.182055555555554,-3.9504833333333327
4200,-4.056242592592592,-4.16322222222222,-3.922516666666666
4300,-4.034199999999999,-4.147344444444443,-3.8945666666666665
4400,-4.011407407407407,-4.130877777777776,-3.8642499999999993
4500,-3.9843740740740734,-4.10931111111111,-3.8346166666666663
4600,-3.9613425925925916,-4.089644444444443,-3.8088499999999996
4700,-3.935575925925925,-4.065594444444443,-3.7822499999999994
4800,-3.9069981481481473,-4.03816111111111,-3.7510166666666667
4900,-3.881498148148147,-4.01666111111111,-3.72145
5000,-3.8595759259259252,-3.995094444444443,-3.699
5100,-3.8256129629629627,-3.9694499999999993,-3.651722222222222
5200,-3.7973074074074074,-3.942649999999999,-3.621038888888889
5300,-3.7701907407407402,-3.9214833333333323,-3.5828888888888892
5400,-3.741896296296296,-3.902416666666666,-3.5445222222222226
5500,-3.7064074074074074,-3.8705333333333325,-3.5004055555555564
5600,-3.6742962962962964,-3.841299999999999,-3.461905555555556
5700,-3.642861111111111,-3.808666666666666,-3.4321222222222234
5800,-3.6108351851851856,-3.7786999999999997,-3.39848888888889
5900,-3.581164814814815,-3.7488666666666663,-3.368377777777779
6000,-3.5490759259259264,-3.7177666666666664,-3.3300777777777792
6100,-3.5140592592592594,-3.6875999999999993,-3.2856611111111125
6200,-3.4793574074074076,-3.656361111111111,-3.245527777777779
6300,-3.4471388888888894,-3.6262388888888895,-3.2157277777777793
6400,-3.4089277777777784,-3.583105555555556,-3.1845111111111124
6500,-3.37968888888889,-3.5538388888888894,-3.154744444444446
6600,-3.344400000000001,-3.522338888888889,-3.1150777777777794
6700,-3.3171944444444454,-3.4915888888888897,-3.093494444444446
6800,-3.291831481481482,-3.4618000000000007,-3.073594444444446
6900,-3.2640407407407417,-3.431844444444445,-3.0468111111111127
7000,-3.232077777777779,-3.3981444444444455,-3.019038888888891
7100,-3.1993222222222237,-3.3643777777777784,-2.991472222222224
7200,-3.1653574074074085,-3.3282333333333343,-2.9629722222222243
7300,-3.1381296296296313,-3.298866666666668,-2.937322222222224
7400,-3.10451851851852,-3.2629666666666677,-2.908805555555558
7500,-3.079159259259261,-3.2326666666666677,-2.888538888888891
7600,-3.0459259259259275,-3.1987333333333345,-2.855905555555558
7700,-3.0037425925925945,-3.153383333333335,-2.8168055555555584
7800,-2.968909259259261,-3.1122666666666685,-2.788755555555558
7900,-2.939025925925928,-3.0800500000000013,-2.762355555555558
8000,-2.9068148148148167,-3.051050000000002,-2.7252055555555583
8100,-2.8818574074074093,-3.023294444444446,-2.706255555555558
8200,-2.8594537037037058,-2.9999611111111126,-2.6894111111111134
8300,-2.8411722222222244,-2.9755611111111127,-2.681800000000002
8400,-2.815066666666669,-2.94032777777778,-2.664700000000003
8500,-2.798979629629632,-2.92367777777778,-2.656655555555558
8600,-2.776175925925928,-2.89687777777778,-2.6427111111111135
8700,-2.751679629629632,-2.885144444444447,-2.610711111111114
8800,-2.7294277777777802,-2.8705111111111132,-2.5843222222222253
8900,-2.702531481481484,-2.85337777777778,-2.549833333333336
9000,-2.6813981481481504,-2.836511111111114,-2.5322000000000027
9100,-2.6636981481481508,-2.8193444444444467,-2.517883333333336
9200,-2.6492925925925954,-2.8011944444444468,-2.5120166666666695
9300,-2.6274629629629658,-2.7766944444444466,-2.491750000000003
9400,-2.6074629629629653,-2.7665277777777804,-2.4539666666666693
9500,-2.5736888888888916,-2.7396611111111135,-2.414533333333336
