global_iterations,avg,min,max
10000,-3.2683333333333326,-3.4749999999999988,-3.040499999999999
20000,-2.618111111111111,-2.8586666666666662,-2.350333333333333
30000,-2.1468333333333334,-2.34825,-1.9062500000000002
40000,-1.872266666666667,-2.0462000000000002,-1.6694000000000002
50000,-1.706666666666667,-2.0223333333333335,-1.411666666666667
60000,-1.3800729166666672,-1.7067187500000005,-1.0216250000000004
70000,-1.231620370370371,-1.5345277777777782,-0.8994444444444449
80000,-0.6381416666666675,-0.925875000000001,-0.3157000000000008
90000,-0.26147500000000073,-0.5064750000000007,0.008999999999999304
100000,-0.06199166666666729,-0.34077500000000066,0.22129999999999947
110000,0.11778333333333277,-0.05090000000000058,0.26389999999999947
120000,0.24209999999999948,0.07894999999999949,0.3959499999999995
130000,0.3151499999999995,0.14164999999999947,0.4963999999999995
140000,0.42293333333333283,0.23009999999999947,0.6259999999999997
150000,0.5254166666666661,0.3610999999999994,0.7139999999999996
