global_iterations,avg,min,max
0,-4.530666666666663,-4.570999999999997,-4.471999999999996
100,-4.556333333333329,-4.609499999999997,-4.493999999999996
200,-4.5302777777777745,-4.587499999999998,-4.461666666666663
300,-4.541374999999997,-4.5971249999999975,-4.475249999999997
400,-4.531655555555552,-4.587499999999997,-4.471666666666664
500,-4.523138888888886,-4.577416666666664,-4.466833333333331
600,-4.511642857142855,-4.560285714285712,-4.460999999999998
700,-4.503166666666664,-4.547874999999998,-4.454999999999997
800,-4.5002345679012326,-4.54333333333333,-4.4521481481481455
900,-4.495244444444442,-4.540149999999998,-4.44698333333333
1000,-4.494494949494947,-4.539545454545452,-4.447257575757573
1100,-4.489273148148146,-4.536208333333331,-4.439069444444441
1200,-4.4878675213675185,-4.533384615384613,-4.439256410256407
1300,-4.487936507936506,-4.532142857142855,-4.439309523809521
1400,-4.489929629629628,-4.537666666666665,-4.4403888888888865
1500,-4.4864027777777755,-4.532531249999997,-4.43823958333333
1600,-4.485496732026141,-4.5325294117647035,-4.435519607843134
1700,-4.484228395061725,-4.533138888888886,-4.433268518518515
1800,-4.483733918128652,-4.532815789473681,-4.432938596491225
1900,-4.48054722222222,-4.5288999999999975,-4.430491666666664
2000,-4.473775132275129,-4.520952380952378,-4.424896825396822
2100,-4.469535353535351,-4.52222727272727,-4.418287878787876
2200,-4.466555555555553,-4.520043478260867,-4.412318840579708
2300,-4.463740740740739,-4.515749999999998,-4.411347222222219
2400,-4.455751111111109,-4.510039999999998,-4.398213333333331
2500,-4.446074786324784,-4.506461538461536,-4.379358974358972
2600,-4.437565843621397,-4.5027777777777755,-4.3642345679012315
2700,-4.431509920634919,-4.499964285714284,-4.353511904761903
2800,-4.421097701149423,-4.49606896551724,-4.330701149425286
2900,-4.412075925925923,-4.489099999999998,-4.315611111111109
3000,-4.398940740740739,-4.485066666666665,-4.292261111111109
3100,-4.381662962962961,-4.476266666666664,-4.265494444444443
3200,-4.363340740740739,-4.4680166666666645,-4.237261111111109
3300,-4.339779629629628,-4.457749999999998,-4.201144444444443
3400,-4.318420370370368,-4.442683333333331,-4.1701333333333315
3500,-4.295138888888887,-4.425449999999998,-4.137555555555554
3600,-4.272133333333332,-4.406416666666664,-4.10732222222222
3700,-4.248353703703702,-4.388949999999998,-4.074744444444443
3800,-4.221120370370369,-4.365783333333331,-4.040644444444443
3900,-4.192153703703702,-4.342599999999999,-4.005894444444443
