global_iterations,avg,min,max
10000,-4.403666666666664,-4.450999999999997,-4.336999999999997
20000,-4.296111111111109,-4.392333333333331,-4.208333333333331
30000,-4.192666666666665,-4.322249999999998,-4.052999999999999
40000,-4.075799999999999,-4.234799999999998,-3.8675999999999995
50000,-3.9457777777777765,-4.154666666666665,-3.6628333333333334
60000,-3.8036190476190472,-4.056571428571428,-3.4540000000000006
70000,-3.679833333333333,-3.959624999999999,-3.2895000000000008
80000,-3.535407407407407,-3.8272222222222214,-3.126333333333334
90000,-3.4126000000000003,-3.7101999999999995,-2.994800000000001
100000,-3.1437000000000004,-3.4853,-2.6789000000000014
110000,-2.9092333333333342,-3.284100000000001,-2.402900000000002
120000,-2.6519000000000013,-3.0475000000000017,-2.096800000000002
130000,-2.224200000000002,-2.6719600000000017,-1.6361000000000019
140000,-2.041400000000002,-2.473660000000002,-1.4823000000000015
150000,-1.8773222222222237,-2.2957600000000022,-1.345766666666668
