global_iterations,avg,min,max
0,-4.482999999999997,-4.482999999999997,-4.482999999999997
596,-4.4667499999999976,-4.482999999999997,-4.450499999999998
678,-4.451999999999997,-4.482999999999997,-4.4209999999999985
720,-4.453624999999997,-4.493999999999997,-4.413249999999998
784,-4.446899999999998,-4.485199999999997,-4.408599999999998
967,-4.444249999999998,-4.482999999999997,-4.405499999999999
1125,-4.441142857142855,-4.482999999999997,-4.399285714285712
1206,-4.441333333333331,-4.482999999999997,-4.394624999999999
1300,-4.438629629629627,-4.482999999999997,-4.390999999999998
1439,-4.432066666666665,-4.480799999999997,-4.381499999999998
1567,-4.426030303030301,-4.472999999999997,-4.377727272727271
1578,-4.422833333333331,-4.471999999999997,-4.374583333333332
2660,-4.414141025641023,-4.467346153846151,-4.359461538461537
2802,-4.395797619047618,-4.458249999999998,-4.330499999999998
2890,-4.383344444444442,-4.443499999999998,-4.320333333333332
2891,-4.375395833333331,-4.433593749999997,-4.313281249999998
3107,-4.367725490196076,-4.425499999999998,-4.30705882352941
3239,-4.357444444444443,-4.420749999999997,-4.287444444444443
3366,-4.347692982456138,-4.415052631578945,-4.269894736842104
3500,-4.337944444444442,-4.409924999999998,-4.251049999999998
4077,-4.332732804232802,-4.4052857142857125,-4.243857142857141
4202,-4.3209646464646445,-4.399272727272725,-4.230590909090908
4292,-4.308016908212559,-4.388260869565215,-4.217391304347825
4659,-4.294071759259258,-4.375770833333331,-4.201458333333332
4972,-4.275228888888887,-4.360599999999998,-4.1765599999999985
5351,-4.263162393162391,-4.350576923076921,-4.165576923076921
5568,-4.250832304526747,-4.336370370370369,-4.155499999999999
5769,-4.231249007936507,-4.318464285714284,-4.134589285714284
6471,-4.211136973180075,-4.301793103448274,-4.111362068965516
6879,-4.191942407407406,-4.281519999999999,-4.093549999999999
6948,-4.151625740740739,-4.251319999999998,-4.043116666666665
6984,-4.114786851851851,-4.221119999999998,-3.994749999999999
7407,-4.076444259259258,-4.1909199999999975,-3.9462166666666656
8348,-4.037488703703702,-4.159253333333331,-3.897766666666666
8486,-3.988722037037036,-4.130153333333332,-3.822466666666666
8892,-3.9378664814814806,-4.086519999999998,-3.7650666666666663
9044,-3.8905720370370367,-4.0489533333333325,-3.7085999999999992
9158,-3.8392553703703696,-4.011386666666665,-3.6471499999999994
9295,-3.7839924074074065,-3.9700866666666657,-3.5727833333333328
