global_iterations,avg,min,max
10000,-4.072499999999999,-4.232999999999999,-3.9419999999999993
20000,-3.6317777777777778,-3.7913333333333337,-3.463000000000001
30000,-3.266000000000001,-3.413500000000001,-3.1000000000000014
40000,-2.999800000000001,-3.1772000000000014,-2.806600000000001
50000,-2.75338888888889,-2.935166666666668,-2.5396666666666676
60000,-2.5001500000000014,-2.7428000000000017,-2.186250000000001
70000,-2.358003703703705,-2.652322222222224,-2.0183333333333344
80000,-1.8584366666666683,-2.197856666666669,-1.4607000000000014
90000,-1.3585700000000016,-1.695506666666669,-0.9296500000000012
100000,-1.0094200000000013,-1.3544066666666683,-0.5769500000000009
110000,-0.8817366666666677,-1.2279566666666681,-0.4650500000000008
120000,-0.7129533333333342,-1.0321766666666679,-0.3658500000000008
130000,-0.5880222222222231,-0.9129166666666679,-0.2144500000000007
140000,-0.4073833333333341,-0.6765333333333343,-0.06485000000000066
150000,-0.2686111111111119,-0.48823333333333424,-0.025500000000000623
