global_iterations,avg,min,max
10000,-4.481166666666664,-4.537999999999998,-4.400499999999997
20000,-4.45122222222222,-4.519666666666665,-4.365666666666664
30000,-4.438638888888886,-4.5123333333333315,-4.343499999999997
40000,-4.423177777777775,-4.503166666666664,-4.322799999999997
50000,-4.378185185185183,-4.474749999999998,-4.2608333333333315
60000,-4.313285714285712,-4.432119047619046,-4.1674285714285695
70000,-4.247555555555554,-4.378145833333331,-4.102999999999998
80000,-4.156654320987652,-4.311425925925924,-3.992444444444443
90000,-4.064622222222221,-4.242583333333331,-3.8913999999999986
100000,-3.9176777777777767,-4.122116666666665,-3.727233333333333
110000,-3.7444999999999995,-3.984916666666666,-3.5367999999999995
120000,-3.547622222222222,-3.8079499999999995,-3.3199333333333336
130000,-3.2941166666666675,-3.595366666666667,-2.991633333333334
140000,-3.056533333333334,-3.3799666666666672,-2.706333333333334
150000,-2.8148777777777787,-3.1536000000000013,-2.4669333333333343
