global_iterations,avg,min,max
0,-4.515999999999997,-4.548999999999998,-4.482999999999997
100,-4.54533333333333,-4.576499999999998,-4.521499999999997
200,-4.51522222222222,-4.554666666666665,-4.478666666666665
300,-4.519083333333331,-4.561499999999998,-4.476999999999997
400,-4.493933333333331,-4.5589999999999975,-4.439799999999997
500,-4.503911111111109,-4.562833333333331,-4.452499999999997
600,-4.506697619047617,-4.559714285714284,-4.458428571428569
700,-4.495818749999998,-4.548874999999998,-4.447749999999997
800,-4.496110493827158,-4.546444444444442,-4.450703703703701
900,-4.4934105555555535,-4.542299999999998,-4.4497666666666635
1000,-4.493060101010099,-4.540909090909088,-4.448575757575755
1100,-4.491582870370368,-4.540666666666664,-4.4476944444444415
1200,-4.483136324786322,-4.532487179487178,-4.437641025641023
1300,-4.477106746031744,-4.525285714285713,-4.4335952380952355
1400,-4.473658888888887,-4.523199999999998,-4.42952222222222
1500,-4.467190624999998,-4.515687499999998,-4.423927083333331
1600,-4.460287254901958,-4.506470588235292,-4.418637254901959
1700,-4.454715740740738,-4.501499999999997,-4.411546296296295
1800,-4.445195614035086,-4.4947631578947345,-4.3949912280701735
1900,-4.437944166666664,-4.488674999999998,-4.383991666666665
2000,-4.43106058201058,-4.482119047619046,-4.3755873015872995
2100,-4.427133585858583,-4.481659090909089,-4.369356060606059
2200,-4.42301183574879,-4.476456521739128,-4.366362318840578
2300,-4.418921064814813,-4.471687499999998,-4.362513888888887
2400,-4.413197555555553,-4.4670999999999985,-4.355253333333332
2500,-4.407491239316237,-4.461711538461536,-4.34880128205128
2600,-4.4040100823045245,-4.460277777777775,-4.344604938271603
2700,-4.398545436507935,-4.456374999999998,-4.337994047619046
2800,-4.390572605363983,-4.453879310344825,-4.325477011494251
2900,-4.380720185185183,-4.448816666666664,-4.311694444444442
3000,-4.369209074074073,-4.442583333333331,-4.294277777777776
3100,-4.355847962962961,-4.430616666666665,-4.278494444444443
3200,-4.3463368518518495,-4.420899999999999,-4.269861111111109
3300,-4.333664629629627,-4.4091999999999985,-4.255277777777776
3400,-4.324964629629628,-4.399633333333331,-4.2466777777777756
3500,-4.311765740740739,-4.388699999999998,-4.232194444444443
3600,-4.2981129629629615,-4.377199999999998,-4.214777777777776
3700,-4.2873870370370355,-4.368366666666665,-4.199366666666665
3800,-4.2717611111111085,-4.359333333333331,-4.1790555555555535
3900,-4.2569981481481465,-4.350433333333331,-4.157433333333332
4000,-4.243238888888887,-4.339799999999998,-4.138388888888887
4100,-4.228953703703702,-4.328899999999998,-4.121233333333332
4200,-4.218483333333332,-4.319188888888887,-4.109733333333332
4300,-4.204170370370369,-4.307633333333331,-4.090549999999999
4400,-4.184712962962961,-4.293833333333331,-4.066099999999999
4500,-4.172690740740739,-4.290999999999999,-4.044249999999999
4600,-4.1563685185185175,-4.278699999999999,-4.0234999999999985
4700,-4.140974074074072,-4.267533333333332,-4.003266666666665
4800,-4.128940740740739,-4.255016666666665,-3.9936499999999984
4900,-4.116962962962962,-4.2464499999999985,-3.979533333333332
5000,-4.101599999999999,-4.2371833333333315,-3.9592499999999986
5100,-4.07971111111111,-4.217216666666665,-3.9336333333333324
5200,-4.054555555555554,-4.202183333333332,-3.896449999999999
5300,-4.032977777777776,-4.192283333333331,-3.864033333333332
5400,-4.012357407407406,-4.1772166666666655,-3.8348555555555546
5500,-3.990818518518517,-4.161749999999999,-3.8043944444444433
5600,-3.966412962962962,-4.140516666666666,-3.7755111111111104
5700,-3.9451129629629618,-4.127183333333332,-3.74426111111111
5800,-3.9251907407407396,-4.107016666666665,-3.7203611111111106
5900,-3.9057907407407395,-4.092316666666665,-3.6900944444444432
6000,-3.882872222222221,-4.074716666666665,-3.662444444444444
6100,-3.858366666666666,-4.056116666666665,-3.6316611111111112
6200,-3.8382833333333326,-4.043499999999999,-3.6007944444444444
6300,-3.812788888888888,-4.0219499999999995,-3.5699944444444442
6400,-3.790177777777777,-4.006116666666666,-3.5367444444444445
6500,-3.767683333333333,-3.9864833333333323,-3.5078444444444443
6600,-3.747322222222222,-3.9722499999999994,-3.486077777777778
6700,-3.7209425925925923,-3.950316666666666,-3.4551055555555554
6800,-3.6960759259259257,-3.9305833333333324,-3.4159222222222225
6900,-3.671935185185185,-3.9070999999999994,-3.3857166666666667
7000,-3.6490407407407406,-3.8848999999999996,-3.362255555555556
7100,-3.6200888888888887,-3.8558333333333326,-3.3315000000000006
7200,-3.5908592592592594,-3.8299333333333325,-3.2983111111111114
7300,-3.5660629629629637,-3.813733333333333,-3.269872222222223
7400,-3.5450018518518522,-3.796833333333333,-3.2445388888888895
7500,-3.5161685185185187,-3.7647666666666666,-3.213605555555556
7600,-3.4934129629629633,-3.7433666666666667,-3.18543888888889
7700,-3.468985185185186,-3.7266999999999997,-3.149805555555557
7800,-3.4380185185185193,-3.7028000000000003,-3.110705555555557
7900,-3.412146296296297,-3.6826333333333334,-3.0729888888888905
8000,-3.3918629629629637,-3.669266666666667,-3.0468555555555574
8100,-3.3682407407407413,-3.646466666666667,-3.02208888888889
8200,-3.352962962962964,-3.6307666666666667,-3.009588888888891
8300,-3.332101851851853,-3.6020000000000008,-2.993772222222224
8400,-3.3157203703703715,-3.5932333333333335,-2.9771833333333353
8500,-3.2970481481481495,-3.5815,-2.948544444444446
8600,-3.274425925925927,-3.5706,-2.919311111111113
8700,-3.2543685185185196,-3.555100000000001,-2.8966222222222244
8800,-3.2338574074074087,-3.5413000000000006,-2.874072222222224
8900,-3.2103296296296313,-3.513733333333334,-2.855022222222224
9000,-3.1926814814814835,-3.4941333333333335,-2.833322222222224
9100,-3.177664814814816,-3.480266666666667,-2.8200388888888908
9200,-3.156955555555557,-3.467400000000001,-2.8014722222222246
9300,-3.1390629629629645,-3.4498500000000005,-2.787744444444447
9400,-3.115057407407409,-3.427350000000001,-2.759894444444447
9500,-3.092274074074076,-3.408750000000001,-2.72742777777778
9600,-3.069185185185187,-3.3846166666666675,-2.6995944444444473
9700,-3.0525074074074094,-3.3832166666666676,-2.6795777777777805
9800,-3.030307407407409,-3.365083333333334,-2.6679611111111132
9900,-3.0105907407407426,-3.3583666666666674,-2.647494444444447
10000,-2.9940592592592608,-3.3527666666666676,-2.624011111111114
10100,-2.9866574074074093,-3.3500666666666676,-2.605005555555558
10200,-2.978592592592594,-3.347533333333334,-2.58467777777778
10300,-2.966005555555557,-3.327800000000001,-2.5756333333333354
10400,-2.955433333333335,-3.314866666666668,-2.568783333333336
10500,-2.9368166666666684,-3.2938666666666676,-2.5604333333333362
10600,-2.919311111111113,-3.287100000000001,-2.543716666666669
10700,-2.903622222222224,-3.2749000000000015,-2.5336500000000024
10800,-2.8910055555555574,-3.258033333333335,-2.5221833333333357
10900,-2.878138888888891,-3.2477666666666685,-2.5099833333333357
11000,-2.8560944444444463,-3.2221666666666677,-2.4857000000000022
11100,-2.843950000000002,-3.224133333333335,-2.461766666666669
11200,-2.8234944444444463,-3.207300000000002,-2.436316666666669
11300,-2.802300000000002,-3.1945333333333346,-2.413683333333336
11400,-2.782790740740743,-3.1747000000000014,-2.3972500000000023
11500,-2.7715185185185205,-3.1680000000000015,-2.3973833333333356
11600,-2.7625851851851873,-3.147200000000002,-2.3968500000000024
11700,-2.748925925925928,-3.122433333333335,-2.394005555555558
11800,-2.737659259259261,-3.102200000000002,-2.3885555555555578
11900,-2.7275203703703723,-3.095366666666669,-2.3805722222222245
