global_iterations,avg,min,max
0,95.91333333333334,95.885,95.93666666666667
1,97.29361111111112,97.25833333333333,97.32166666666666
2,97.92444444444443,97.88944444444445,97.96166666666666
3,98.3138888888889,98.28416666666666,98.34541666666667
4,98.57955555555556,98.54666666666667,98.612
5,98.76814814814814,98.73916666666666,98.79666666666667
6,98.9136507936508,98.88595238095239,98.9395238095238
7,99.02631944444444,99.00041666666667,99.05083333333333
8,99.11703703703704,99.08944444444444,99.14166666666667
9,99.19233333333332,99.16666666666666,99.21516666666666
10,99.25247474747475,99.22727272727273,99.27469696969698
11,99.30800925925926,99.2838888888889,99.3288888888889
12,99.35487179487178,99.33166666666668,99.37576923076924
13,99.39571428571428,99.37404761904762,99.4152380952381
14,99.43085185185186,99.40977777777776,99.44955555555556
15,99.46208333333334,99.441875,99.48010416666666
16,99.49055555555555,99.47029411764706,99.5085294117647
17,99.51595679012345,99.49592592592593,99.53388888888888
18,99.53877192982456,99.51850877192983,99.55666666666666
19,99.55980555555556,99.5395,99.57791666666667
20,99.57873015873015,99.55888888888889,99.59634920634922
21,99.59669191919193,99.57696969696968,99.61401515151515
22,99.6119806763285,99.59297101449275,99.62884057971014
23,99.62724537037037,99.60798611111112,99.64402777777777
24,99.64146666666667,99.6224,99.65826666666666
25,99.65371794871794,99.63499999999999,99.67019230769232
26,99.66572016460906,99.64685185185186,99.68203703703703
27,99.67623015873016,99.65720238095238,99.69255952380954
28,99.68634099616858,99.66747126436782,99.70281609195402
29,99.69605555555556,99.67677777777777,99.71255555555555
30,99.83155555555555,99.8127222222222,99.84755555555556
31,99.87514814814814,99.8566111111111,99.89066666666666
32,99.90224074074074,99.88477777777777,99.91594444444445
33,99.9195,99.90249999999999,99.93272222222222
34,99.93081481481481,99.91411111111113,99.94344444444444
35,99.94038888888889,99.9238888888889,99.95277777777777
36,99.94735185185186,99.93122222222222,99.95955555555555
37,99.95312962962963,99.93666666666668,99.96522222222221
38,99.9582962962963,99.94305555555556,99.9696111111111
39,99.96237037037037,99.94688888888889,99.97372222222222
40,99.96685185185187,99.95127777777778,99.97805555555556
41,99.9694814814815,99.95416666666667,99.98055555555555
42,99.97224074074074,99.95733333333334,99.98261111111111
43,99.97468518518518,99.95983333333334,99.98499999999999
44,99.97725925925926,99.96283333333334,99.98733333333332
45,99.97957407407407,99.96538888888888,99.98938888888888
46,99.98137037037037,99.9678888888889,99.99061111111111
47,99.98311111111111,99.97016666666667,99.99177777777777
48,99.9847962962963,99.97266666666668,99.99288888888888
49,99.98614814814816,99.97472222222223,99.9935
50,99.98757407407408,99.9765,99.99466666666666
51,99.98844444444444,99.97794444444445,99.99516666666666
52,99.99016666666667,99.97977777777778,99.99666666666667
53,99.99088888888888,99.98133333333334,99.99688888888889
54,99.99146296296296,99.98238888888889,99.99688888888889
55,99.9927962962963,99.98405555555557,99.99794444444443
56,99.99353703703703,99.98555555555555,99.99827777777777
57,99.99487037037036,99.98766666666667,99.99905555555554
58,99.99588888888889,99.98916666666668,99.99938888888889
59,99.99662962962962,99.99094444444445,99.99955555555556
60,99.99735185185185,99.99216666666668,100.0
61,99.99796296296296,99.99388888888889,100.0
62,99.998,99.994,100.0
63,99.998,99.994,100.0
64,99.99861111111112,99.99583333333334,100.0
65,99.99866666666667,99.99600000000001,100.0
66,99.9988148148148,99.99644444444445,100.0
67,99.9992037037037,99.99761111111111,100.0
68,99.99927777777778,99.99783333333333,100.0
69,99.99953703703704,99.99861111111112,100.0
70,99.99992592592592,99.99977777777778,100.0
71,100.0,100.0,100.0
72,100.0,100.0,100.0
73,100.0,100.0,100.0
74,100.0,100.0,100.0
75,100.0,100.0,100.0
76,100.0,100.0,100.0
77,100.0,100.0,100.0
78,100.0,100.0,100.0
79,100.0,100.0,100.0
80,100.0,100.0,100.0
81,100.0,100.0,100.0
82,100.0,100.0,100.0
83,100.0,100.0,100.0
84,100.0,100.0,100.0
85,100.0,100.0,100.0
86,100.0,100.0,100.0
87,100.0,100.0,100.0
88,100.0,100.0,100.0
89,100.0,100.0,100.0
90,100.0,100.0,100.0
91,100.0,100.0,100.0
92,100.0,100.0,100.0
93,100.0,100.0,100.0
94,100.0,100.0,100.0
95,100.0,100.0,100.0
96,100.0,100.0,100.0
97,100.0,100.0,100.0
98,100.0,100.0,100.0
99,100.0,100.0,100.0
